Spec,AgeBins,EduBins,Re74Bins,Re75Bins,MatchedN,MatchedTreated,MatchedControl,L1Raw,L1Matched,L1ReductionPct
S1,6,5,6,6,398,173,225,0.5832125173301643,0.2482723185613359,57.43021434144122
S2,5,4,5,5,468,199,269,0.5027292533174885,0.23849731931030616,52.55949047395339
S3,4,4,4,4,498,213,285,0.47927906516141805,0.24566345441067458,48.743128530361176
S4,3,3,3,3,608,258,350,0.34127153891859774,0.2226356589147287,34.76289888684999
