"","BIAS","SD","RMSE","Treated","Controls","Seconds","L1"
"RAW",-423.719635004649,1566.48524344357,1622.62859946795,151,293,0,0.640229482246788
"MAH",784.804717235629,737.932137762939,1077.19699933238,151,151,0.0195588000000723,0.539489233408685
"PSC",260.446498165091,1025.83472390141,1058.28105519856,151,151,0.0171441999998171,0.614876237339583
"GEN",78.9347585245771,502.215753306918,508.331500932605,151,143,18.6881375999999,0.561749860416371
"CEM",0.775460208094614,111.390703669955,111.382263511069,86,151,0.233825200000078,0.381531079414743
