sim,method,l1
50,RAW,0.6231643665958952
50,MAH,0.5668789808917197
50,PSC,0.6369426751592357
50,GEN,0.5715722427086826
50,CEM,0.3485092667203868
51,RAW,0.595032955671391
51,MAH,0.5508982035928144
51,PSC,0.592814371257485
51,GEN,0.5481694838171758
51,CEM,0.36494896689071443
52,RAW,0.6546112115732369
52,MAH,0.5569620253164557
52,PSC,0.6455696202531646
52,GEN,0.5531390705972304
52,CEM,0.37025745257452575
53,RAW,0.6271154090851253
53,MAH,0.5459770114942528
53,PSC,0.6091954022988506
53,GEN,0.5670750151240169
53,CEM,0.38225806451612904
54,RAW,0.6518303019196408
54,MAH,0.5616438356164384
54,PSC,0.6438356164383561
54,GEN,0.5787940890950275
54,CEM,0.4017676767676768
55,RAW,0.6517316017316017
55,MAH,0.5575757575757576
55,PSC,0.6181818181818182
55,GEN,0.6051948051948052
55,CEM,0.41334462059412036
56,RAW,0.6115691663394843
56,MAH,0.49382716049382713
56,PSC,0.611111111111111
56,GEN,0.4980015987210232
56,CEM,0.31580515417845967
57,RAW,0.6650852098380777
57,MAH,0.572463768115942
57,PSC,0.6956521739130435
57,GEN,0.5754214729370009
57,CEM,0.38906926406926406
58,RAW,0.6562699062699063
58,MAH,0.5337837837837838
58,PSC,0.6013513513513514
58,GEN,0.5343137254901961
58,CEM,0.40436590436590436
59,RAW,0.6205784204671858
59,MAH,0.5290322580645161
59,PSC,0.6129032258064516
59,GEN,0.5597521897030548
59,CEM,0.3457923655292076
60,RAW,0.6775351841141315
60,MAH,0.5639097744360901
60,PSC,0.6466165413533834
60,GEN,0.5639097744360901
60,CEM,0.40617848970251713
61,RAW,0.6255269320843091
61,MAH,0.4928571428571428
61,PSC,0.5857142857142857
61,GEN,0.5271637122002085
61,CEM,0.38483085541909073
62,RAW,0.6570416338628259
62,MAH,0.5524475524475525
62,PSC,0.6433566433566433
62,GEN,0.5868298368298368
62,CEM,0.4280829087863773
63,RAW,0.685227489053874
63,MAH,0.5514705882352942
63,PSC,0.6911764705882353
63,GEN,0.5603263203091455
63,CEM,0.3996434029546612
64,RAW,0.646009646009646
64,MAH,0.5135135135135136
64,PSC,0.6351351351351352
64,GEN,0.5196223620881155
64,CEM,0.3864894795127353
65,RAW,0.6199841358715938
65,MAH,0.5319148936170213
65,PSC,0.6595744680851063
65,GEN,0.5456911066891168
65,CEM,0.3141025641025641
66,RAW,0.6193106201756721
66,MAH,0.5
66,PSC,0.5576923076923077
66,GEN,0.504553492484527
66,CEM,0.35601503759398495
67,RAW,0.6091318591318592
67,MAH,0.5
67,PSC,0.6013513513513514
67,GEN,0.5655549166187464
67,CEM,0.33986928104575165
68,RAW,0.6653508578485423
68,MAH,0.5886075949367089
68,PSC,0.6329113924050633
68,GEN,0.6251653126771207
68,CEM,0.3986677115987461
69,RAW,0.6416023422943838
69,MAH,0.5833333333333334
69,PSC,0.6346153846153846
69,GEN,0.581025641025641
69,CEM,0.41602014427657547
70,RAW,0.6308790593505039
70,MAH,0.49645390070921985
70,PSC,0.6099290780141844
70,GEN,0.5292553191489362
70,CEM,0.37334437086092714
71,RAW,0.6574121242995415
71,MAH,0.5384615384615384
71,PSC,0.6363636363636364
71,GEN,0.5717615717615717
71,CEM,0.40522875816993464
72,RAW,0.6646806801445977
72,MAH,0.6038961038961039
72,PSC,0.6493506493506493
72,GEN,0.618471456600953
72,CEM,0.423752792256143
73,RAW,0.6319960022844089
73,MAH,0.4926470588235294
73,PSC,0.5882352941176471
73,GEN,0.5183290707587382
73,CEM,0.35193661971830986
74,RAW,0.5944354910914137
74,MAH,0.5424836601307189
74,PSC,0.5686274509803921
74,GEN,0.5564187939326675
74,CEM,0.32670373538637015
75,RAW,0.6344827586206897
75,MAH,0.5103448275862069
75,PSC,0.5655172413793104
75,GEN,0.5238026819923371
75,CEM,0.3463773069036227
76,RAW,0.6325188825188826
76,MAH,0.5270270270270271
76,PSC,0.6486486486486487
76,GEN,0.5332284339133654
76,CEM,0.36865227103499626
77,RAW,0.7047148804337303
77,MAH,0.5833333333333334
77,PSC,0.6818181818181819
77,GEN,0.60788334472545
77,CEM,0.4897297297297297
78,RAW,0.6381611225591208
78,MAH,0.5038759689922481
78,PSC,0.6434108527131783
78,GEN,0.5983230501502926
78,CEM,0.37954228529242884
79,RAW,0.606544901065449
79,MAH,0.5163398692810458
79,PSC,0.5947712418300654
79,GEN,0.5140301734728979
79,CEM,0.3194444444444444
80,RAW,0.6496749989093923
80,MAH,0.5864197530864197
80,PSC,0.654320987654321
80,GEN,0.5980246913580247
80,CEM,0.41999414948076647
81,RAW,0.6740112994350282
81,MAH,0.5733333333333334
81,PSC,0.6466666666666667
81,GEN,0.5981735159817352
81,CEM,0.39224858002004676
82,RAW,0.6263419394907284
82,MAH,0.5192307692307692
82,PSC,0.5641025641025641
82,GEN,0.5511456628477905
82,CEM,0.3653524658679298
83,RAW,0.618800461361015
83,MAH,0.532051282051282
83,PSC,0.6089743589743589
83,GEN,0.5860042735042734
83,CEM,0.3408378690417285
84,RAW,0.616271186440678
84,MAH,0.52
84,PSC,0.5800000000000001
84,GEN,0.5185281385281386
84,CEM,0.36110516170486184
85,RAW,0.6168492904616489
85,MAH,0.513157894736842
