sim,method,common_units_share
150,GEN(C),0.8442211055276382
151,CEM(T),0.954248366013072
151,CEM(C),0.9672897196261683
151,PSC(C),0.7015503875968992
151,MAH(C),0.8010204081632653
151,GEN(C),0.8717948717948718
152,CEM(T),0.95
152,CEM(C),0.985781990521327
152,PSC(C),0.7093023255813954
152,MAH(C),0.7738693467336684
152,GEN(C),0.6829268292682927
153,CEM(T),0.9612903225806452
153,CEM(C),0.9672897196261683
153,PSC(C),0.6679389312977099
153,MAH(C),0.8078817733990148
153,GEN(C),0.8106796116504854
154,CEM(T),0.974025974025974
154,CEM(C),0.9904306220095693
154,PSC(C),0.7392857142857143
154,MAH(C),0.8163265306122449
154,GEN(C),0.8144329896907216
155,CEM(T),0.9411764705882353
155,CEM(C),0.9764150943396226
155,PSC(C),0.688
155,MAH(C),0.8095238095238095
155,GEN(C),0.7227722772277227
156,CEM(T),0.9536423841059603
156,CEM(C),0.9665071770334929
156,PSC(C),0.6837944664031621
156,MAH(C),0.8186274509803921
156,GEN(C),0.8275862068965517
157,CEM(T),0.9612903225806452
157,CEM(C),0.9814814814814815
157,PSC(C),0.6906474820143885
157,MAH(C),0.7910447761194029
157,GEN(C),0.7560975609756098
158,CEM(T),0.9617834394904459
158,CEM(C),0.9813953488372092
158,PSC(C),0.7303370786516854
158,MAH(C),0.7905759162303665
158,GEN(C),0.8663366336633663
159,CEM(T),0.925
159,CEM(C),0.9624413145539906
159,PSC(C),0.7214285714285714
159,MAH(C),0.8223350253807107
159,GEN(C),0.8020304568527918
160,CEM(T),0.9375
160,CEM(C),0.971830985915493
160,PSC(C),0.6264591439688716
160,MAH(C),0.8324873096446701
160,GEN(C),0.775609756097561
161,CEM(T),0.9622641509433962
161,CEM(C),0.9719626168224299
161,PSC(C),0.7107142857142857
161,MAH(C),0.8195876288659794
161,GEN(C),0.8518518518518519
162,CEM(T),0.9675324675324676
162,CEM(C),0.9768518518518519
162,PSC(C),0.7327935222672065
162,MAH(C),0.8040201005025126
162,GEN(C),0.8232323232323232
163,CEM(T),0.9407894736842105
163,CEM(C),0.966183574879227
163,PSC(C),0.7047970479704797
163,MAH(C),0.8040201005025126
163,GEN(C),0.8226600985221675
164,CEM(T),0.9675324675324676
164,CEM(C),0.9765258215962441
164,PSC(C),0.724907063197026
164,MAH(C),0.7889447236180904
164,GEN(C),0.7929292929292929
165,CEM(T),0.9673202614379085
165,CEM(C),0.9902912621359223
165,PSC(C),0.696969696969697
165,MAH(C),0.8241206030150754
165,GEN(C),0.8527918781725888
166,CEM(T),0.9487179487179487
166,CEM(C),0.9663461538461539
166,PSC(C),0.7178571428571429
166,MAH(C),0.8737373737373737
166,GEN(C),0.8706467661691543
167,CEM(T),0.9615384615384616
167,CEM(C),0.9807692307692307
167,PSC(C),0.7142857142857143
167,MAH(C),0.8256410256410256
167,GEN(C),0.780952380952381
168,CEM(T),0.9673202614379085
168,CEM(C),0.9804878048780488
