rep,method,mspe_base,mspe_perturbed,mspe_ratio
1,CEM.W,9940.211968732016,1049.5474384431977,0.10558602188209465
2,CEM.W,10855.142683092858,1906.6152261428722,0.17564165500214665
3,CEM.W,1.9464401810527576,5975.112028481742,3069.7640167138475
4,CEM.W,55502.02026298258,66246.32452788863,1.1935840211580917
5,CEM.W,21766.06449270467,2500.1374360945424,0.11486400938178389
6,CEM.W,13340.07163194961,854.8483084012267,0.06408123824116928
7,CEM.W,13332.39504074706,143860.24510075717,10.7902777153756
8,CEM.W,6341.785416527613,2504.5623221647306,0.3949301588851426
9,CEM.W,1173.827459228414,3077.7372231912764,2.6219673078821564
10,CEM.W,920.8219326708729,85195.67220395677,92.52133249785227
11,CEM.W,601.2232612832266,12982.299564401597,21.59314251529906
12,CEM.W,15.157070240875617,19966.82655831645,1317.3275732713748
13,CEM.W,7195.213847365149,7067.720704258242,0.9822808403180964
14,CEM.W,31543.52764721247,100585.89924067025,3.188796775225586
15,CEM.W,4653.327088634632,3265.5847371167442,0.7017741660784315
16,CEM.W,15.278804515972174,2031.1144989262364,132.9367423218844
17,CEM.W,60905.84204226073,9896.696681168567,0.16249174708563338
18,CEM.W,8781.076086386023,2889.776191010089,0.3290913508300345
19,CEM.W,5941.1325464411675,117.79316380249472,0.019826718707539135
20,CEM.W,17697.39462692489,62280.93638953241,3.519214986299618
21,CEM.W,21071.057145911356,4962.953636101024,0.23553415482355328
22,CEM.W,948.0682816541519,479.4125651826657,0.5056730348010438
23,CEM.W,42364.98920511118,8904.936011319724,0.21019563980545936
24,CEM.W,45.4435483003641,32976.73046931081,725.6636354922706
25,CEM.W,5615.706775080906,12796.834489845824,2.2787575994228186
26,CEM.W,9000.106682800078,8286.651482296673,0.9207281396045143
27,CEM.W,6211.207826510395,5387.049705448857,0.8673111343104792
28,CEM.W,1245.0590762541156,9170.772460769214,7.365732787845214
29,CEM.W,16604.156725932422,1397.8118002933936,0.08418444991610366
30,CEM.W,3468.069420402116,216.03419412265626,0.06229234998923623
31,CEM.W,19904.322497614998,6108.125169457027,0.3068743068340519
32,CEM.W,5664.222376448062,3287.8822902765532,0.5804649026400563
33,CEM.W,12507.620373850856,8051.713355120452,0.6437446224346418
34,CEM.W,3002.0413723802603,961.756477975935,0.3203674962058824
35,CEM.W,3113.348401576856,4156.440588761951,1.3350386955269085
36,CEM.W,11374.438738216179,6.248253079016666,5.49324078560782e-4
37,CEM.W,477.890072260624,3097.7448756058916,6.482128538373347
38,CEM.W,23679.598509549167,97741.60239848799,4.127671436619678
39,CEM.W,4176.937075763956,258020.53563636573,61.772665222440324
40,CEM.W,13254.05366666467,6047.835329645025,0.45630080288990854
41,CEM.W,20943.276892446283,15854.411184314302,0.7570167393447675
42,CEM.W,17526.517015787853,10478.963867344817,0.5978919746522019
43,CEM.W,35791.92155799383,21252.508689228318,0.5937794833058284
