Method,PlaceboATT
MAH,-1343.820287877863
EBAL,-1127.9281954043763
CEM.W,35.611655030698785
PSC,537.7041550067943
MAH,735.8843835002244
EBAL,515.8509311872522
CEM.W,-720.3848118894189
PSC,-811.2518146784623
MAH,-599.0347716077813
EBAL,-654.4650564492431
CEM.W,-64.18262315712764
PSC,522.018438846575
MAH,767.2102911978054
EBAL,555.5953702630632
CEM.W,929.1471779871972
PSC,329.5714028355251
MAH,706.6091300630405
EBAL,350.5566557422326
CEM.W,322.70784881517466
PSC,122.63853913124149
MAH,78.94415284487604
EBAL,-20.054070327161753
CEM.W,427.3164457308403
PSC,-686.6149867279364
MAH,-390.4083217145617
EBAL,-588.3589888651122
CEM.W,-515.6484213062749
PSC,112.39889586734444
MAH,-47.00013924287214
EBAL,-50.27021265973508
CEM.W,210.53756604235878
PSC,491.3546936728735
MAH,483.0421660837501
EBAL,227.2467351967989
CEM.W,356.83406360231584
PSC,637.0170583371764
MAH,558.8970098912914
EBAL,455.12509444634
CEM.W,793.1919427813591
PSC,320.34266237457996
MAH,718.833945701419
EBAL,477.92519558354707
CEM.W,-38.31341823778621
PSC,150.63904475202526
MAH,226.28648151693142
EBAL,335.27319070634985
CEM.W,251.8639337229415
PSC,-124.8669238877219
MAH,-224.6430690649786
EBAL,-263.30790343452736
CEM.W,-1028.6616640483062
PSC,-562.1062630162096
MAH,-906.0180388299705
EBAL,-714.3222015224119
CEM.W,118.84878035287511
PSC,-199.15528940271452
MAH,-70.03290548870518
EBAL,-109.0753592055562
CEM.W,191.70676121276483
PSC,377.47725760976846
MAH,-21.734732592547516
EBAL,112.77292170672354
CEM.W,280.9739228075332
PSC,-110.68113549229292
MAH,-50.694564498233376
EBAL,-11.639086907251112
CEM.W,328.6933370793058
PSC,226.5374121232462
MAH,510.9980101794099
EBAL,281.1974606938684
CEM.W,-129.52868869381655
PSC,312.860741046944
MAH,451.78929270477875
EBAL,278.2199326818836
CEM.W,184.33837190895065
PSC,492.00602859599803
MAH,768.0297442221081
EBAL,517.6199472349554
CEM.W,126.10736837798049
PSC,167.2221384658551
MAH,369.1224589363892
EBAL,21.413680769745042
CEM.W,1112.0990631109935
PSC,138.10868952330566
MAH,2.111260398068225
EBAL,-180.19425416962076
CEM.W,-482.9348152527018
PSC,312.3047642691772
MAH,322.26091991129124
EBAL,250.65130873739508
CEM.W,869.3402778503942
PSC,638.3549307492449
MAH,616.7241968353992
EBAL,419.1813248995495
CEM.W,177.73908530721837
PSC,31.35465308552284
MAH,174.11710374363338
EBAL,130.22111528130426
CEM.W,-153.70577250792212
PSC,-270.83885959663803
MAH,-218.00479558822735
EBAL,-231.41167836847308
CEM.W,818.2190566400204
PSC,66.46795881637445
MAH,63.10227226488587
EBAL,-139.8412719459193
CEM.W,-1157.7177629964394
PSC,-187.96237877482872
MAH,219.800956841671
EBAL,-18.53291856351825
CEM.W,-909.9585990382211
PSC,-698.4060722505201
MAH,-878.9719677934736
EBAL,-841.8705581017575
CEM.W,-491.9045280018245
PSC,189.6307482607035
MAH,585.5811574017562
EBAL,121.99361301383578
CEM.W,862.6308818211237
PSC,1161.6211172161684
MAH,1462.8777166938144
EBAL,1300.6696518682793
CEM.W,716.6548247539822
PSC,924.6572140395037
MAH,372.09306670680144
EBAL,614.9325759756557
CEM.W,-928.0059323685191
PSC,-84.8732015564783
MAH,236.7606219025174
EBAL,93.5118685075804
CEM.W,-59.75972091989479
PSC,360.7290353871358
MAH,496.0098369225916
EBAL,-35.616893445188
CEM.W,594.3324711769019
PSC,-133.10087992607077
MAH,198.71498296718437
EBAL,-15.611010190805246
CEM.W,-392.5324418007376
PSC,-525.8839738762335
MAH,-311.0938195251056
EBAL,-442.69858787335306
CEM.W,-616.9767435368985
PSC,47.39422645954164
MAH,-80.10584284721426
EBAL,14.157145194065379
CEM.W,-912.2679245683494
PSC,459.86614847664896
MAH,418.41850680213156
EBAL,484.1328292006174
CEM.W,-297.8343876216859
PSC,788.5251482183276
MAH,570.9662337768759
EBAL,498.9142136836308
CEM.W,738.8883004664003
PSC,1194.2188273086285
MAH,1210.021184324014
EBAL,956.0623400192417
CEM.W,43.08015693460493
PSC,-127.58147815742905
MAH,263.6840156529488
EBAL,105.03142735736856
CEM.W,-354.4649898001062
PSC,-797.3547978898896
MAH,-974.3955258070819
EBAL,-893.6017373250634
CEM.W,-756.9469198571769
PSC,-88.86256230158415
MAH,-167.1398973175974
EBAL,-307.2715086161252
CEM.W,-118.16244126317997
PSC,-346.7504691563872
MAH,-149.85582785815132
EBAL,-95.68462034074491
CEM.W,-554.8573512362045
PSC,-215.0015898553611
MAH,397.5879500803321
EBAL,-8.812294947189912
CEM.W,960.0026617360454
PSC,372.20693637064414
MAH,-84.95073506005247
EBAL,143.841769744663
CEM.W,217.44284015231642
PSC,-304.4816673484311
MAH,-113.3571260111894
EBAL,-433.10476223373007
CEM.W,198.17326491634594
PSC,-41.23928952457936
MAH,17.791786604858316
EBAL,-137.92391779403897
CEM.W,-1175.9184594712542
PSC,26.00289204144792
MAH,-669.2134550332221
EBAL,-422.9376986203242
CEM.W,476.00061842294326
PSC,340.25356969608583
MAH,240.42242376411014
EBAL,-41.9983426515937
CEM.W,143.24379502200827
PSC,637.3884832851008
