sim,key,n,method,group
976,RAW(nt),149,RAW,treated
976,RAW(nc),296,RAW,control
976,MAH(nt),149,MAH,treated
976,MAH(nc),149,MAH,control
976,PSC(nt),149,PSC,treated
976,PSC(nc),149,PSC,control
976,GEN(nt),149,GEN,treated
976,GEN(nc),149,GEN,control
976,CEM(nt),82,CEM,treated
976,CEM(nc),141,CEM,control
977,RAW(nt),157,RAW,treated
977,RAW(nc),288,RAW,control
977,MAH(nt),157,MAH,treated
977,MAH(nc),157,MAH,control
977,PSC(nt),157,PSC,treated
977,PSC(nc),157,PSC,control
977,GEN(nt),157,GEN,treated
977,GEN(nc),159,GEN,control
977,CEM(nt),81,CEM,treated
977,CEM(nc),151,CEM,control
978,RAW(nt),177,RAW,treated
978,RAW(nc),268,RAW,control
978,MAH(nt),177,MAH,treated
978,MAH(nc),177,MAH,control
978,PSC(nt),177,PSC,treated
978,PSC(nc),177,PSC,control
978,GEN(nt),177,GEN,treated
978,GEN(nc),156,GEN,control
978,CEM(nt),93,CEM,treated
978,CEM(nc),152,CEM,control
979,RAW(nt),153,RAW,treated
979,RAW(nc),292,RAW,control
979,MAH(nt),153,MAH,treated
979,MAH(nc),153,MAH,control
979,PSC(nt),153,PSC,treated
979,PSC(nc),153,PSC,control
979,GEN(nt),153,GEN,treated
979,GEN(nc),137,GEN,control
979,CEM(nt),86,CEM,treated
979,CEM(nc),163,CEM,control
980,RAW(nt),156,RAW,treated
980,RAW(nc),289,RAW,control
980,MAH(nt),156,MAH,treated
980,MAH(nc),156,MAH,control
980,PSC(nt),156,PSC,treated
980,PSC(nc),156,PSC,control
980,GEN(nt),156,GEN,treated
980,GEN(nc),142,GEN,control
980,CEM(nt),97,CEM,treated
980,CEM(nc),159,CEM,control
981,RAW(nt),154,RAW,treated
981,RAW(nc),291,RAW,control
981,MAH(nt),154,MAH,treated
981,MAH(nc),154,MAH,control
981,PSC(nt),154,PSC,treated
981,PSC(nc),154,PSC,control
981,GEN(nt),154,GEN,treated
981,GEN(nc),144,GEN,control
981,CEM(nt),79,CEM,treated
981,CEM(nc),154,CEM,control
982,RAW(nt),145,RAW,treated
982,RAW(nc),300,RAW,control
982,MAH(nt),145,MAH,treated
982,MAH(nc),145,MAH,control
982,PSC(nt),145,PSC,treated
982,PSC(nc),145,PSC,control
982,GEN(nt),145,GEN,treated
982,GEN(nc),141,GEN,control
982,CEM(nt),85,CEM,treated
982,CEM(nc),158,CEM,control
983,RAW(nt),146,RAW,treated
983,RAW(nc),299,RAW,control
983,MAH(nt),146,MAH,treated
983,MAH(nc),146,MAH,control
983,PSC(nt),146,PSC,treated
983,PSC(nc),146,PSC,control
983,GEN(nt),146,GEN,treated
983,GEN(nc),132,GEN,control
983,CEM(nt),78,CEM,treated
983,CEM(nc),155,CEM,control
984,RAW(nt),136,RAW,treated
984,RAW(nc),309,RAW,control
984,MAH(nt),136,MAH,treated
984,MAH(nc),136,MAH,control
984,PSC(nt),136,PSC,treated
984,PSC(nc),136,PSC,control
984,GEN(nt),136,GEN,treated
984,GEN(nc),148,GEN,control
984,CEM(nt),79,CEM,treated
984,CEM(nc),154,CEM,control
985,RAW(nt),146,RAW,treated
985,RAW(nc),299,RAW,control
985,MAH(nt),146,MAH,treated
985,MAH(nc),146,MAH,control
985,PSC(nt),146,PSC,treated
985,PSC(nc),146,PSC,control
985,GEN(nt),146,GEN,treated
985,GEN(nc),156,GEN,control
985,CEM(nt),94,CEM,treated
985,CEM(nc),156,CEM,control
986,RAW(nt),146,RAW,treated
986,RAW(nc),299,RAW,control
986,MAH(nt),146,MAH,treated
986,MAH(nc),146,MAH,control
986,PSC(nt),146,PSC,treated
986,PSC(nc),146,PSC,control
986,GEN(nt),146,GEN,treated
986,GEN(nc),144,GEN,control
986,CEM(nt),93,CEM,treated
986,CEM(nc),143,CEM,control
987,RAW(nt),166,RAW,treated
987,RAW(nc),279,RAW,control
987,MAH(nt),166,MAH,treated
987,MAH(nc),166,MAH,control
987,PSC(nt),166,PSC,treated
987,PSC(nc),166,PSC,control
987,GEN(nt),166,GEN,treated
987,GEN(nc),132,GEN,control
987,CEM(nt),98,CEM,treated
987,CEM(nc),148,CEM,control
988,RAW(nt),148,RAW,treated
988,RAW(nc),297,RAW,control
988,MAH(nt),148,MAH,treated
988,MAH(nc),148,MAH,control
988,PSC(nt),148,PSC,treated
988,PSC(nc),148,PSC,control
988,GEN(nt),148,GEN,treated
988,GEN(nc),131,GEN,control
988,CEM(nt),89,CEM,treated
988,CEM(nc),139,CEM,control
989,RAW(nt),162,RAW,treated
989,RAW(nc),283,RAW,control
989,MAH(nt),162,MAH,treated
989,MAH(nc),162,MAH,control
989,PSC(nt),162,PSC,treated
989,PSC(nc),162,PSC,control
989,GEN(nt),162,GEN,treated
989,GEN(nc),151,GEN,control
989,CEM(nt),87,CEM,treated
989,CEM(nc),152,CEM,control
990,RAW(nt),162,RAW,treated
990,RAW(nc),283,RAW,control
990,MAH(nt),162,MAH,treated
990,MAH(nc),162,MAH,control
990,PSC(nt),162,PSC,treated
990,PSC(nc),162,PSC,control
990,GEN(nt),162,GEN,treated
990,GEN(nc),150,GEN,control
990,CEM(nt),90,CEM,treated
990,CEM(nc),156,CEM,control
991,RAW(nt),139,RAW,treated
991,RAW(nc),306,RAW,control
991,MAH(nt),139,MAH,treated
991,MAH(nc),139,MAH,control
991,PSC(nt),139,PSC,treated
991,PSC(nc),139,PSC,control
991,GEN(nt),139,GEN,treated
991,GEN(nc),137,GEN,control
991,CEM(nt),83,CEM,treated
991,CEM(nc),165,CEM,control
992,RAW(nt),144,RAW,treated
992,RAW(nc),301,RAW,control
992,MAH(nt),144,MAH,treated
992,MAH(nc),144,MAH,control
992,PSC(nt),144,PSC,treated
992,PSC(nc),144,PSC,control
992,GEN(nt),144,GEN,treated
992,GEN(nc),141,GEN,control
992,CEM(nt),79,CEM,treated
992,CEM(nc),159,CEM,control
993,RAW(nt),155,RAW,treated
993,RAW(nc),290,RAW,control
993,MAH(nt),155,MAH,treated
993,MAH(nc),155,MAH,control
993,PSC(nt),155,PSC,treated
993,PSC(nc),155,PSC,control
993,GEN(nt),155,GEN,treated
993,GEN(nc),149,GEN,control
993,CEM(nt),88,CEM,treated
993,CEM(nc),153,CEM,control
994,RAW(nt),161,RAW,treated
994,RAW(nc),284,RAW,control
994,MAH(nt),161,MAH,treated
994,MAH(nc),161,MAH,control
994,PSC(nt),161,PSC,treated
994,PSC(nc),161,PSC,control
994,GEN(nt),161,GEN,treated
994,GEN(nc),143,GEN,control
994,CEM(nt),88,CEM,treated
994,CEM(nc),150,CEM,control
995,RAW(nt),142,RAW,treated
995,RAW(nc),303,RAW,control
995,MAH(nt),142,MAH,treated
995,MAH(nc),142,MAH,control
995,PSC(nt),142,PSC,treated
995,PSC(nc),142,PSC,control
995,GEN(nt),142,GEN,treated
995,GEN(nc),135,GEN,control
995,CEM(nt),78,CEM,treated
995,CEM(nc),161,CEM,control
996,RAW(nt),151,RAW,treated
996,RAW(nc),294,RAW,control
996,MAH(nt),151,MAH,treated
996,MAH(nc),151,MAH,control
996,PSC(nt),151,PSC,treated
996,PSC(nc),151,PSC,control
996,GEN(nt),151,GEN,treated
996,GEN(nc),146,GEN,control
996,CEM(nt),90,CEM,treated
996,CEM(nc),162,CEM,control
997,RAW(nt),147,RAW,treated
997,RAW(nc),298,RAW,control
997,MAH(nt),147,MAH,treated
997,MAH(nc),147,MAH,control
997,PSC(nt),147,PSC,treated
997,PSC(nc),147,PSC,control
997,GEN(nt),147,GEN,treated
997,GEN(nc),137,GEN,control
997,CEM(nt),86,CEM,treated
997,CEM(nc),145,CEM,control
998,RAW(nt),154,RAW,treated
998,RAW(nc),291,RAW,control
998,MAH(nt),154,MAH,treated
998,MAH(nc),154,MAH,control
998,PSC(nt),154,PSC,treated
998,PSC(nc),154,PSC,control
998,GEN(nt),154,GEN,treated
998,GEN(nc),153,GEN,control
998,CEM(nt),90,CEM,treated
998,CEM(nc),163,CEM,control
999,RAW(nt),167,RAW,treated
999,RAW(nc),278,RAW,control
999,MAH(nt),167,MAH,treated
999,MAH(nc),167,MAH,control
999,PSC(nt),167,PSC,treated
999,PSC(nc),167,PSC,control
999,GEN(nt),167,GEN,treated
999,GEN(nc),136,GEN,control
999,CEM(nt),97,CEM,treated
999,CEM(nc),134,CEM,control
1000,RAW(nt),147,RAW,treated
1000,RAW(nc),298,RAW,control
1000,MAH(nt),147,MAH,treated
1000,MAH(nc),147,MAH,control
1000,PSC(nt),147,PSC,treated
1000,PSC(nc),147,PSC,control
1000,GEN(nt),147,GEN,treated
1000,GEN(nc),145,GEN,control
1000,CEM(nt),88,CEM,treated
1000,CEM(nc),159,CEM,control
1001,RAW(nt),160,RAW,treated
1001,RAW(nc),285,RAW,control
1001,MAH(nt),160,MAH,treated
1001,MAH(nc),160,MAH,control
1001,PSC(nt),160,PSC,treated
1001,PSC(nc),160,PSC,control
1001,GEN(nt),160,GEN,treated
1001,GEN(nc),146,GEN,control
1001,CEM(nt),97,CEM,treated
1001,CEM(nc),149,CEM,control
1002,RAW(nt),149,RAW,treated
1002,RAW(nc),296,RAW,control
1002,MAH(nt),149,MAH,treated
1002,MAH(nc),149,MAH,control
1002,PSC(nt),149,PSC,treated
1002,PSC(nc),149,PSC,control
1002,GEN(nt),149,GEN,treated
1002,GEN(nc),138,GEN,control
1002,CEM(nt),90,CEM,treated
1002,CEM(nc),153,CEM,control
1003,RAW(nt),146,RAW,treated
1003,RAW(nc),299,RAW,control
1003,MAH(nt),146,MAH,treated
1003,MAH(nc),146,MAH,control
1003,PSC(nt),146,PSC,treated
1003,PSC(nc),146,PSC,control
1003,GEN(nt),146,GEN,treated
1003,GEN(nc),139,GEN,control
1003,CEM(nt),87,CEM,treated
1003,CEM(nc),133,CEM,control
1004,RAW(nt),147,RAW,treated
1004,RAW(nc),298,RAW,control
1004,MAH(nt),147,MAH,treated
1004,MAH(nc),147,MAH,control
1004,PSC(nt),147,PSC,treated
1004,PSC(nc),147,PSC,control
1004,GEN(nt),147,GEN,treated
1004,GEN(nc),131,GEN,control
1004,CEM(nt),84,CEM,treated
1004,CEM(nc),154,CEM,control
1005,RAW(nt),151,RAW,treated
1005,RAW(nc),294,RAW,control
1005,MAH(nt),151,MAH,treated
1005,MAH(nc),151,MAH,control
1005,PSC(nt),151,PSC,treated
1005,PSC(nc),151,PSC,control
1005,GEN(nt),151,GEN,treated
1005,GEN(nc),155,GEN,control
1005,CEM(nt),82,CEM,treated
1005,CEM(nc),166,CEM,control
1006,RAW(nt),154,RAW,treated
1006,RAW(nc),291,RAW,control
1006,MAH(nt),154,MAH,treated
1006,MAH(nc),154,MAH,control
1006,PSC(nt),154,PSC,treated
1006,PSC(nc),154,PSC,control
1006,GEN(nt),154,GEN,treated
1006,GEN(nc),148,GEN,control
1006,CEM(nt),82,CEM,treated
1006,CEM(nc),139,CEM,control
1007,RAW(nt),163,RAW,treated
1007,RAW(nc),282,RAW,control
1007,MAH(nt),163,MAH,treated
1007,MAH(nc),163,MAH,control
1007,PSC(nt),163,PSC,treated
1007,PSC(nc),163,PSC,control
1007,GEN(nt),163,GEN,treated
1007,GEN(nc),145,GEN,control
1007,CEM(nt),88,CEM,treated
1007,CEM(nc),147,CEM,control
1008,RAW(nt),153,RAW,treated
1008,RAW(nc),292,RAW,control
1008,MAH(nt),153,MAH,treated
1008,MAH(nc),153,MAH,control
1008,PSC(nt),153,PSC,treated
1008,PSC(nc),153,PSC,control
1008,GEN(nt),153,GEN,treated
1008,GEN(nc),161,GEN,control
1008,CEM(nt),77,CEM,treated
1008,CEM(nc),172,CEM,control
1009,RAW(nt),151,RAW,treated
1009,RAW(nc),294,RAW,control
1009,MAH(nt),151,MAH,treated
1009,MAH(nc),151,MAH,control
1009,PSC(nt),151,PSC,treated
1009,PSC(nc),151,PSC,control
1009,GEN(nt),151,GEN,treated
1009,GEN(nc),145,GEN,control
1009,CEM(nt),81,CEM,treated
1009,CEM(nc),148,CEM,control
1010,RAW(nt),145,RAW,treated
1010,RAW(nc),300,RAW,control
1010,MAH(nt),145,MAH,treated
1010,MAH(nc),145,MAH,control
1010,PSC(nt),145,PSC,treated
1010,PSC(nc),145,PSC,control
1010,GEN(nt),145,GEN,treated
1010,GEN(nc),142,GEN,control
1010,CEM(nt),86,CEM,treated
1010,CEM(nc),134,CEM,control
1011,RAW(nt),173,RAW,treated
1011,RAW(nc),272,RAW,control
1011,MAH(nt),173,MAH,treated
1011,MAH(nc),173,MAH,control
1011,PSC(nt),173,PSC,treated
1011,PSC(nc),173,PSC,control
1011,GEN(nt),173,GEN,treated
1011,GEN(nc),146,GEN,control
1011,CEM(nt),93,CEM,treated
1011,CEM(nc),144,CEM,control
1012,RAW(nt),171,RAW,treated
1012,RAW(nc),274,RAW,control
1012,MAH(nt),171,MAH,treated
1012,MAH(nc),171,MAH,control
1012,PSC(nt),171,PSC,treated
1012,PSC(nc),171,PSC,control
1012,GEN(nt),171,GEN,treated
1012,GEN(nc),150,GEN,control
1012,CEM(nt),96,CEM,treated
1012,CEM(nc),144,CEM,control
1013,RAW(nt),154,RAW,treated
1013,RAW(nc),291,RAW,control
1013,MAH(nt),154,MAH,treated
1013,MAH(nc),154,MAH,control
1013,PSC(nt),154,PSC,treated
1013,PSC(nc),154,PSC,control
1013,GEN(nt),154,GEN,treated
1013,GEN(nc),141,GEN,control
1013,CEM(nt),85,CEM,treated
1013,CEM(nc),155,CEM,control
1014,RAW(nt),150,RAW,treated
1014,RAW(nc),295,RAW,control
1014,MAH(nt),150,MAH,treated
1014,MAH(nc),150,MAH,control
1014,PSC(nt),150,PSC,treated
1014,PSC(nc),150,PSC,control
1014,GEN(nt),150,GEN,treated
1014,GEN(nc),143,GEN,control
1014,CEM(nt),88,CEM,treated
1014,CEM(nc),158,CEM,control
1015,RAW(nt),136,RAW,treated
1015,RAW(nc),309,RAW,control
1015,MAH(nt),136,MAH,treated
1015,MAH(nc),136,MAH,control
1015,PSC(nt),136,PSC,treated
1015,PSC(nc),136,PSC,control
1015,GEN(nt),136,GEN,treated
1015,GEN(nc),141,GEN,control
1015,CEM(nt),77,CEM,treated
1015,CEM(nc),160,CEM,control
1016,RAW(nt),146,RAW,treated
1016,RAW(nc),299,RAW,control
1016,MAH(nt),146,MAH,treated
1016,MAH(nc),146,MAH,control
1016,PSC(nt),146,PSC,treated
1016,PSC(nc),146,PSC,control
1016,GEN(nt),146,GEN,treated
1016,GEN(nc),145,GEN,control
1016,CEM(nt),87,CEM,treated
1016,CEM(nc),152,CEM,control
1017,RAW(nt),143,RAW,treated
1017,RAW(nc),302,RAW,control
1017,MAH(nt),143,MAH,treated
1017,MAH(nc),143,MAH,control
1017,PSC(nt),143,PSC,treated
1017,PSC(nc),143,PSC,control
1017,GEN(nt),143,GEN,treated
1017,GEN(nc),137,GEN,control
1017,CEM(nt),79,CEM,treated
1017,CEM(nc),153,CEM,control
1018,RAW(nt),147,RAW,treated
1018,RAW(nc),298,RAW,control
1018,MAH(nt),147,MAH,treated
1018,MAH(nc),147,MAH,control
1018,PSC(nt),147,PSC,treated
1018,PSC(nc),147,PSC,control
1018,GEN(nt),147,GEN,treated
1018,GEN(nc),151,GEN,control
1018,CEM(nt),85,CEM,treated
1018,CEM(nc),166,CEM,control
1019,RAW(nt),148,RAW,treated
1019,RAW(nc),297,RAW,control
1019,MAH(nt),148,MAH,treated
1019,MAH(nc),148,MAH,control
1019,PSC(nt),148,PSC,treated
1019,PSC(nc),148,PSC,control
1019,GEN(nt),148,GEN,treated
1019,GEN(nc),152,GEN,control
1019,CEM(nt),89,CEM,treated
1019,CEM(nc),160,CEM,control
1020,RAW(nt),145,RAW,treated
1020,RAW(nc),300,RAW,control
1020,MAH(nt),145,MAH,treated
1020,MAH(nc),145,MAH,control
1020,PSC(nt),145,PSC,treated
1020,PSC(nc),145,PSC,control
1020,GEN(nt),145,GEN,treated
1020,GEN(nc),147,GEN,control
1020,CEM(nt),80,CEM,treated
1020,CEM(nc),172,CEM,control
1021,RAW(nt),156,RAW,treated
1021,RAW(nc),289,RAW,control
1021,MAH(nt),156,MAH,treated
1021,MAH(nc),156,MAH,control
1021,PSC(nt),156,PSC,treated
1021,PSC(nc),156,PSC,control
1021,GEN(nt),156,GEN,treated
1021,GEN(nc),146,GEN,control
1021,CEM(nt),92,CEM,treated
1021,CEM(nc),157,CEM,control
1022,RAW(nt),137,RAW,treated
1022,RAW(nc),308,RAW,control
1022,MAH(nt),137,MAH,treated
1022,MAH(nc),137,MAH,control
1022,PSC(nt),137,PSC,treated
1022,PSC(nc),137,PSC,control
1022,GEN(nt),137,GEN,treated
1022,GEN(nc),136,GEN,control
1022,CEM(nt),79,CEM,treated
1022,CEM(nc),138,CEM,control
1023,RAW(nt),148,RAW,treated
1023,RAW(nc),297,RAW,control
1023,MAH(nt),148,MAH,treated
1023,MAH(nc),148,MAH,control
1023,PSC(nt),148,PSC,treated
1023,PSC(nc),148,PSC,control
1023,GEN(nt),148,GEN,treated
1023,GEN(nc),134,GEN,control
1023,CEM(nt),88,CEM,treated
1023,CEM(nc),144,CEM,control
1024,RAW(nt),131,RAW,treated
1024,RAW(nc),314,RAW,control
1024,MAH(nt),131,MAH,treated
1024,MAH(nc),131,MAH,control
1024,PSC(nt),131,PSC,treated
1024,PSC(nc),131,PSC,control
1024,GEN(nt),131,GEN,treated
1024,GEN(nc),134,GEN,control
1024,CEM(nt),74,CEM,treated
1024,CEM(nc),154,CEM,control
1025,RAW(nt),144,RAW,treated
1025,RAW(nc),301,RAW,control
1025,MAH(nt),144,MAH,treated
1025,MAH(nc),144,MAH,control
1025,PSC(nt),144,PSC,treated
1025,PSC(nc),144,PSC,control
1025,GEN(nt),144,GEN,treated
1025,GEN(nc),149,GEN,control
1025,CEM(nt),71,CEM,treated
1025,CEM(nc),159,CEM,control
1026,RAW(nt),150,RAW,treated
1026,RAW(nc),295,RAW,control
1026,MAH(nt),150,MAH,treated
1026,MAH(nc),150,MAH,control
1026,PSC(nt),150,PSC,treated
1026,PSC(nc),150,PSC,control
1026,GEN(nt),150,GEN,treated
1026,GEN(nc),138,GEN,control
1026,CEM(nt),79,CEM,treated
1026,CEM(nc),156,CEM,control
1027,RAW(nt),141,RAW,treated
1027,RAW(nc),304,RAW,control
1027,MAH(nt),141,MAH,treated
1027,MAH(nc),141,MAH,control
1027,PSC(nt),141,PSC,treated
1027,PSC(nc),141,PSC,control
1027,GEN(nt),141,GEN,treated
1027,GEN(nc),148,GEN,control
1027,CEM(nt),74,CEM,treated
1027,CEM(nc),162,CEM,control
1028,RAW(nt),155,RAW,treated
1028,RAW(nc),290,RAW,control
1028,MAH(nt),155,MAH,treated
1028,MAH(nc),155,MAH,control
1028,PSC(nt),155,PSC,treated
1028,PSC(nc),155,PSC,control
1028,GEN(nt),155,GEN,treated
1028,GEN(nc),138,GEN,control
1028,CEM(nt),95,CEM,treated
1028,CEM(nc),143,CEM,control
1029,RAW(nt),142,RAW,treated
1029,RAW(nc),303,RAW,control
1029,MAH(nt),142,MAH,treated
1029,MAH(nc),142,MAH,control
1029,PSC(nt),142,PSC,treated
1029,PSC(nc),142,PSC,control
1029,GEN(nt),142,GEN,treated
1029,GEN(nc),139,GEN,control
1029,CEM(nt),76,CEM,treated
1029,CEM(nc),143,CEM,control
1030,RAW(nt),168,RAW,treated
1030,RAW(nc),277,RAW,control
1030,MAH(nt),168,MAH,treated
1030,MAH(nc),168,MAH,control
1030,PSC(nt),168,PSC,treated
1030,PSC(nc),168,PSC,control
1030,GEN(nt),168,GEN,treated
1030,GEN(nc),148,GEN,control
1030,CEM(nt),98,CEM,treated
1030,CEM(nc),156,CEM,control
1031,RAW(nt),161,RAW,treated
1031,RAW(nc),284,RAW,control
1031,MAH(nt),161,MAH,treated
1031,MAH(nc),161,MAH,control
1031,PSC(nt),161,PSC,treated
1031,PSC(nc),161,PSC,control
1031,GEN(nt),161,GEN,treated
1031,GEN(nc),138,GEN,control
1031,CEM(nt),90,CEM,treated
1031,CEM(nc),128,CEM,control
1032,RAW(nt),153,RAW,treated
1032,RAW(nc),292,RAW,control
1032,MAH(nt),153,MAH,treated
1032,MAH(nc),153,MAH,control
1032,PSC(nt),153,PSC,treated
1032,PSC(nc),153,PSC,control
1032,GEN(nt),153,GEN,treated
1032,GEN(nc),146,GEN,control
1032,CEM(nt),93,CEM,treated
1032,CEM(nc),139,CEM,control
1033,RAW(nt),163,RAW,treated
1033,RAW(nc),282,RAW,control
1033,MAH(nt),163,MAH,treated
1033,MAH(nc),163,MAH,control
1033,PSC(nt),163,PSC,treated
1033,PSC(nc),163,PSC,control
1033,GEN(nt),163,GEN,treated
1033,GEN(nc),143,GEN,control
1033,CEM(nt),101,CEM,treated
1033,CEM(nc),154,CEM,control
1034,RAW(nt),160,RAW,treated
1034,RAW(nc),285,RAW,control
1034,MAH(nt),160,MAH,treated
1034,MAH(nc),160,MAH,control
1034,PSC(nt),160,PSC,treated
1034,PSC(nc),160,PSC,control
1034,GEN(nt),160,GEN,treated
1034,GEN(nc),160,GEN,control
1034,CEM(nt),97,CEM,treated
1034,CEM(nc),155,CEM,control
1035,RAW(nt),153,RAW,treated
1035,RAW(nc),292,RAW,control
1035,MAH(nt),153,MAH,treated
1035,MAH(nc),153,MAH,control
1035,PSC(nt),153,PSC,treated
1035,PSC(nc),153,PSC,control
1035,GEN(nt),153,GEN,treated
1035,GEN(nc),143,GEN,control
1035,CEM(nt),95,CEM,treated
1035,CEM(nc),154,CEM,control
1036,RAW(nt),144,RAW,treated
1036,RAW(nc),301,RAW,control
1036,MAH(nt),144,MAH,treated
1036,MAH(nc),144,MAH,control
1036,PSC(nt),144,PSC,treated
1036,PSC(nc),144,PSC,control
1036,GEN(nt),144,GEN,treated
1036,GEN(nc),144,GEN,control
1036,CEM(nt),86,CEM,treated
1036,CEM(nc),161,CEM,control
1037,RAW(nt),131,RAW,treated
1037,RAW(nc),314,RAW,control
1037,MAH(nt),131,MAH,treated
1037,MAH(nc),131,MAH,control
1037,PSC(nt),131,PSC,treated
1037,PSC(nc),131,PSC,control
1037,GEN(nt),131,GEN,treated
1037,GEN(nc),134,GEN,control
1037,CEM(nt),74,CEM,treated
1037,CEM(nc),169,CEM,control
1038,RAW(nt),153,RAW,treated
1038,RAW(nc),292,RAW,control
1038,MAH(nt),153,MAH,treated
1038,MAH(nc),153,MAH,control
1038,PSC(nt),153,PSC,treated
1038,PSC(nc),153,PSC,control
1038,GEN(nt),153,GEN,treated
1038,GEN(nc),154,GEN,control
1038,CEM(nt),89,CEM,treated
1038,CEM(nc),154,CEM,control
1039,RAW(nt),158,RAW,treated
1039,RAW(nc),287,RAW,control
1039,MAH(nt),158,MAH,treated
1039,MAH(nc),158,MAH,control
1039,PSC(nt),158,PSC,treated
1039,PSC(nc),158,PSC,control
1039,GEN(nt),158,GEN,treated
1039,GEN(nc),164,GEN,control
1039,CEM(nt),88,CEM,treated
1039,CEM(nc),154,CEM,control
1040,RAW(nt),141,RAW,treated
1040,RAW(nc),304,RAW,control
1040,MAH(nt),141,MAH,treated
1040,MAH(nc),141,MAH,control
1040,PSC(nt),141,PSC,treated
1040,PSC(nc),141,PSC,control
1040,GEN(nt),141,GEN,treated
1040,GEN(nc),133,GEN,control
1040,CEM(nt),89,CEM,treated
1040,CEM(nc),157,CEM,control
1041,RAW(nt),156,RAW,treated
1041,RAW(nc),289,RAW,control
1041,MAH(nt),156,MAH,treated
1041,MAH(nc),156,MAH,control
1041,PSC(nt),156,PSC,treated
1041,PSC(nc),156,PSC,control
1041,GEN(nt),156,GEN,treated
1041,GEN(nc),131,GEN,control
1041,CEM(nt),92,CEM,treated
1041,CEM(nc),141,CEM,control
1042,RAW(nt),145,RAW,treated
1042,RAW(nc),300,RAW,control
1042,MAH(nt),145,MAH,treated
1042,MAH(nc),145,MAH,control
1042,PSC(nt),145,PSC,treated
1042,PSC(nc),145,PSC,control
1042,GEN(nt),145,GEN,treated
1042,GEN(nc),134,GEN,control
1042,CEM(nt),76,CEM,treated
1042,CEM(nc),172,CEM,control
1043,RAW(nt),155,RAW,treated
1043,RAW(nc),290,RAW,control
1043,MAH(nt),155,MAH,treated
1043,MAH(nc),155,MAH,control
1043,PSC(nt),155,PSC,treated
1043,PSC(nc),155,PSC,control
1043,GEN(nt),155,GEN,treated
1043,GEN(nc),159,GEN,control
1043,CEM(nt),75,CEM,treated
1043,CEM(nc),167,CEM,control
1044,RAW(nt),135,RAW,treated
1044,RAW(nc),310,RAW,control
1044,MAH(nt),135,MAH,treated
1044,MAH(nc),135,MAH,control
1044,PSC(nt),135,PSC,treated
1044,PSC(nc),135,PSC,control
1044,GEN(nt),135,GEN,treated
1044,GEN(nc),144,GEN,control
1044,CEM(nt),77,CEM,treated
1044,CEM(nc),144,CEM,control
1045,RAW(nt),143,RAW,treated
1045,RAW(nc),302,RAW,control
1045,MAH(nt),143,MAH,treated
1045,MAH(nc),143,MAH,control
1045,PSC(nt),143,PSC,treated
1045,PSC(nc),143,PSC,control
1045,GEN(nt),143,GEN,treated
1045,GEN(nc),131,GEN,control
1045,CEM(nt),82,CEM,treated
1045,CEM(nc),170,CEM,control
1046,RAW(nt),167,RAW,treated
1046,RAW(nc),278,RAW,control
1046,MAH(nt),167,MAH,treated
1046,MAH(nc),167,MAH,control
1046,PSC(nt),167,PSC,treated
1046,PSC(nc),167,PSC,control
1046,GEN(nt),167,GEN,treated
1046,GEN(nc),151,GEN,control
1046,CEM(nt),90,CEM,treated
1046,CEM(nc),143,CEM,control
1047,RAW(nt),142,RAW,treated
1047,RAW(nc),303,RAW,control
1047,MAH(nt),142,MAH,treated
1047,MAH(nc),142,MAH,control
1047,PSC(nt),142,PSC,treated
1047,PSC(nc),142,PSC,control
1047,GEN(nt),142,GEN,treated
1047,GEN(nc),129,GEN,control
1047,CEM(nt),80,CEM,treated
1047,CEM(nc),164,CEM,control
1048,RAW(nt),160,RAW,treated
1048,RAW(nc),285,RAW,control
1048,MAH(nt),160,MAH,treated
1048,MAH(nc),160,MAH,control
1048,PSC(nt),160,PSC,treated
1048,PSC(nc),160,PSC,control
1048,GEN(nt),160,GEN,treated
1048,GEN(nc),140,GEN,control
1048,CEM(nt),96,CEM,treated
1048,CEM(nc),149,CEM,control
1049,RAW(nt),153,RAW,treated
1049,RAW(nc),292,RAW,control
1049,MAH(nt),153,MAH,treated
1049,MAH(nc),153,MAH,control
1049,PSC(nt),153,PSC,treated
1049,PSC(nc),153,PSC,control
1049,GEN(nt),153,GEN,treated
1049,GEN(nc),145,GEN,control
1049,CEM(nt),90,CEM,treated
1049,CEM(nc),164,CEM,control
1050,RAW(nt),139,RAW,treated
1050,RAW(nc),306,RAW,control
1050,MAH(nt),139,MAH,treated
1050,MAH(nc),139,MAH,control
1050,PSC(nt),139,PSC,treated
1050,PSC(nc),139,PSC,control
1050,GEN(nt),139,GEN,treated
1050,GEN(nc),139,GEN,control
1050,CEM(nt),81,CEM,treated
1050,CEM(nc),159,CEM,control
1051,RAW(nt),157,RAW,treated
1051,RAW(nc),288,RAW,control
1051,MAH(nt),157,MAH,treated
1051,MAH(nc),157,MAH,control
1051,PSC(nt),157,PSC,treated
1051,PSC(nc),157,PSC,control
1051,GEN(nt),157,GEN,treated
1051,GEN(nc),152,GEN,control
1051,CEM(nt),90,CEM,treated
1051,CEM(nc),144,CEM,control
1052,RAW(nt),149,RAW,treated
1052,RAW(nc),296,RAW,control
1052,MAH(nt),149,MAH,treated
1052,MAH(nc),149,MAH,control
1052,PSC(nt),149,PSC,treated
1052,PSC(nc),149,PSC,control
1052,GEN(nt),149,GEN,treated
1052,GEN(nc),157,GEN,control
1052,CEM(nt),93,CEM,treated
