Method,Bias,SD,RMSE
RAW,-451.55926086269824,1523.077431751256,1582.510428187321
MAH,804.412712548693,646.1891840007498,1030.1264985994867
PSC,309.18262690008396,942.8906885989721,988.5484596120845
GEN,92.50252934086006,493.9188808300503,500.47938345936154
CEM.W,0.5150278404752271,103.91973229219137,103.48710913455122
