Method,Observed_ATT,Placebo_Mean,Placebo_SD,Placebo_p_two_sided
CEM.W,550.9625644120433,-50.313061642447,692.7299705552555,0.428
PSC,1022.608637055162,45.275500900885085,516.7685977101819,0.044
MAH,677.5408475856584,119.9705144145208,513.9164992321149,0.204
EBAL,872.8722327575106,-9.372224257921287,494.3773244890679,0.072
