Method,Bias,SD,RMSE,Runtime,L1,MethodLabel
RAW,-423.71963500464915,1566.485243443566,1622.628599467955,0,0.6402294822467878,Unmatched
MAH,784.8047172356294,737.9321377629386,1077.1969993323821,0.01955880000007232,0.5394892334086849,Mahalanobis
PSC,260.4464981650906,1025.8347239014072,1058.2810551985624,0.017144199999817086,0.6148762373395827,Propensity Score
GEN,78.93475852457709,502.2157533069181,508.33150093260457,18.688137599999887,0.5617498604163705,Genetic Matching
CEM,153.53198232790692,136.57768474626312,205.47944635751824,0.2338252000000776,0.38153107941474257,CEM (Unweighted)
CEM.W,0.7754602080946142,111.39070366995477,111.38226351106893,0.2338252000000776,0.38153107941474257,CEM (Weighted)
