"","CEM(K_T)","CEM(K_C)","PSC(K_C)","MAH(K_C)","GEN(K_C)"
"Percent Common Units","95.3","97.7","70.2","80.9","80.0"
"Seconds","0.07","0.07","0.08","0.15","126.64"
